Fecha,TMAX,TMIN,Prec,TMEDIA,GD_Tb2,Fuente,TipoDato,CalidadDato,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-01-01,30.900,13.600,0.000,21.200,19.200,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-02,28.400,11.200,0.000,18.600,16.600,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-03,19.600,12.700,0.000,15.400,13.400,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-04,26.900,10.600,0.000,19.000,17.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-05,32.600,16.700,0.000,25.000,23.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-06,31.300,20.600,0.300,25.200,23.200,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-07,23.100,14.800,0.000,18.800,16.800,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-08,27.100,12.400,0.000,19.500,17.500,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-09,31.200,16.000,0.000,23.900,21.900,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-10,32.900,18.800,0.000,26.300,24.300,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-11,37.500,22.600,0.000,29.000,27.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-12,27.400,18.200,0.200,23.600,21.600,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-13,29.200,15.800,0.700,22.400,20.400,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-14,34.400,20.400,0.000,27.400,25.400,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-15,27.300,17.200,5.500,23.000,21.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-16,32.300,14.600,0.000,23.900,21.900,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-17,27.700,17.100,2.200,23.700,21.700,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-18,21.800,11.700,0.000,17.500,15.500,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-19,26.700,10.300,0.000,19.000,17.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-20,30.600,14.900,0.000,23.100,21.100,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-21,33.700,19.500,0.100,26.600,24.600,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-22,34.100,21.700,0.800,26.900,24.900,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-23,33.600,21.500,0.200,27.800,25.800,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-24,34.100,23.300,0.200,29.000,27.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-25,34.200,23.700,0.300,28.800,26.800,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-26,30.200,18.800,1.700,24.700,22.700,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-27,32.200,14.600,0.000,23.400,21.400,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-28,35.300,19.600,0.000,27.800,25.800,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-29,33.800,23.400,1.700,27.200,25.200,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-30,30.300,20.000,1.600,25.000,23.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-01-31,33.700,20.400,0.000,27.100,25.100,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-01,31.300,23.500,0.900,27.200,25.200,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-02,36.900,23.500,0.700,29.900,27.900,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-03,28.000,19.200,1.600,23.900,21.900,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-04,29.900,17.000,1.200,22.000,20.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-05,24.500,16.800,8.500,20.800,18.800,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-06,28.300,12.700,0.000,20.500,18.500,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-07,27.500,12.900,0.000,20.800,18.800,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-08,32.200,16.400,0.000,24.500,22.500,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-09,28.000,20.000,1.900,23.900,21.900,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-10,32.500,17.100,12.900,23.700,21.700,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-11,22.600,14.000,1.800,18.800,16.800,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-12,23.100,15.500,0.000,19.100,17.100,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-13,20.800,10.600,0.000,16.400,14.400,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-14,26.900,13.500,2.900,20.200,18.200,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-15,28.300,18.700,0.900,23.000,21.000,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-16,32.400,17.800,0.000,24.800,22.800,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-17,32.800,19.700,0.000,26.100,24.100,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-18,30.300,18.500,0.700,24.400,22.400,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-19,25.100,15.900,1.000,20.400,18.400,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-20,31.600,15.800,0.000,23.500,21.500,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-21,28.600,18.600,0.000,23.300,21.300,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-22,29.600,18.900,0.100,24.300,22.300,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-23,29.800,19.200,0.000,24.500,22.500,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-24,22.500,16.800,0.000,20.200,18.200,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-25,20.100,13.200,0.000,16.500,14.500,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-26,27.200,9.900,0.000,18.900,16.900,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-27,29.700,15.600,0.000,22.700,20.700,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
2026-02-28,31.400,20.300,1.000,25.200,23.200,ERA5_SEAMLESS,Reanalisis,Temperatura_ERA5_Land_0.1_Precipitacion_ERA5_0.25_sin_correccion_local,-38.6,-61.699997,130.0,2026-07-28T00:04:46+00:00
